	ID	Label	Area	cm2	Circ	Slice	AR	Round	Solidity	Mean.Green	Mean.Blue	Mean.Red
742	ID_16	0025-1590	9288	1.45125	0.6	1	1	1	1	32.4	22.3	59.5
743	ID_16	0026-1777	9751	1.52359375	0.7	1	1	1	1	31.5	23	52.7
744	ID_16	0027-1784	9847	1.53859375	0.7	1	1	1	1	156.9	30.2	182.8
745	ID_16	0028-1801	9453	1.47703125	0.6	1	1	1	1	27.2	20.2	45.2
746	ID_16	0029-1803	9722	1.5190625	0.7	1	1	1	1	70	24.1	164.5
747	ID_16	0030-1839	9357	1.46203125	0.7	1	1	1	1	141.8	25.3	170.1
748	ID_16	0031-1966	9414	1.4709375	0.8	1	1	1	1	158.6	27.8	184.7
749	ID_16	0032-1992	9777	1.52765625	0.7	1	1	1	1	155.9	26.5	183
750	ID_16	0033-1994	9755	1.52421875	0.8	1	1	1	1	66.7	22	164.3
751	ID_16	0034-2041	9520	1.4875	0.7	1	1	1	1	67	22.4	165.3
752	ID_16	0035-2044	9717	1.51828125	0.6	1	1.1	0.9	1	69.4	24.3	167.6
753	ID_16	0036-2169	9563	1.49421875	0.7	1	1	1	1	32.1	23.2	55.5
754	ID_16	0037-2180	9772	1.526875	0.7	1	1	1	1	63.2	20.9	165.2
755	ID_16	0038-2231	9449	1.47640625	0.7	1	1	1	1	35.8	25.3	60.9
