 	ID	Label	Color	Area	cm2	Mean	StdDev	Mode	Min	Max	Circ.	Slice	AR	Round	Solidity	MinThr	MaxThr
163	ID_04	0007-2200	Red	27129	4.23890625	155.4	21.2	164	107	210	0.7	1	1.7	0.6	1	0	255
164	ID_04	0008-2203	Red	25984	4.06	155.3	22.8	150	101	208	0.7	1	1.7	0.6	0.9	0	255
165	ID_04	0009-2216	Red	25765	4.02578125	151.9	20.5	163	86	202	0.7	1	1.6	0.6	0.9	0	255
166	ID_04	0001-1140	Green	28645	4.47578125	93.4	38.8	119	25	175	0.7	2	1.8	0.6	1	0	255
167	ID_04	0002-1150	Green	28461	4.44703125	102	36.5	119	28	174	0.7	2	1.7	0.6	1	0	255
168	ID_04	0003-1173	Green	28246	4.4134375	90.9	37.5	41	26	181	0.7	2	1.7	0.6	1	0	255
169	ID_04	0004-1697	Green	28526	4.4571875	103.8	40.4	39	28	181	0.7	2	1.7	0.6	1	0	255
170	ID_04	0005-1713	Green	29007	4.53234375	92.6	35.9	43	27	172	0.7	2	1.8	0.6	1	0	255
171	ID_04	0006-1744	Green	25820	4.034375	86.6	35.5	44	26	160	0.7	2	1.7	0.6	0.9	0	255
172	ID_04	0007-2200	Green	27129	4.23890625	104.3	40.1	45	29	183	0.7	2	1.7	0.6	1	0	255
173	ID_04	0008-2203	Green	25984	4.06	104	41.6	43	28	177	0.7	2	1.7	0.6	0.9	0	255
174	ID_04	0009-2216	Green	25765	4.02578125	92.4	38.3	44	26	170	0.7	2	1.6	0.6	0.9	0	255
175	ID_04	0001-1140	Blue	28645	4.47578125	54.5	43.8	8	0	155	0.7	3	1.8	0.6	1	0	255
176	ID_04	0002-1150	Blue	28461	4.44703125	53.4	41.6	9	0	160	0.7	3	1.7	0.6	1	0	255
177	ID_04	0003-1173	Blue	28246	4.4134375	54.2	43.9	9	0	160	0.7	3	1.7	0.6	1	0	255
178	ID_04	0004-1697	Blue	28526	4.4571875	57.3	41.9	10	0	154	0.7	3	1.7	0.6	1	0	255
179	ID_04	0005-1713	Blue	29007	4.53234375	53.4	40.3	10	0	146	0.7	3	1.8	0.6	1	0	255
180	ID_04	0006-1744	Blue	25820	4.034375	48.3	39.4	9	0	139	0.7	3	1.7	0.6	0.9	0	255
181	ID_04	0007-2200	Blue	27129	4.23890625	57.4	40.8	11	0	147	0.7	3	1.7	0.6	1	0	255
182	ID_04	0008-2203	Blue	25984	4.06	58.1	46.3	11	0	164	0.7	3	1.7	0.6	0.9	0	255
183	ID_04	0009-2216	Blue	25765	4.02578125	49.9	39.2	10	0	144	0.7	3	1.6	0.6	0.9	0	255
184	ID_05	0001-0860	Red	22278	3.4809375	120.1	36.5	77	48	229	0.5	1	2.7	0.4	0.9	0	255
185	ID_05	0002-0882	Red	24551	3.83609375	125.9	34.3	84	59	232	0.5	1	2.6	0.4	0.9	0	255
186	ID_05	0003-0886	Red	25006	3.9071875	119	36.2	81	52	227	0.5	1	2.1	0.5	0.9	0	255
187	ID_05	0004-0887	Red	22627	3.53546875	122.7	35.9	81	53	228	0.5	1	2.3	0.4	0.9	0	255
188	ID_05	0005-0909	Red	22368	3.495	139.9	22.7	124	80	208	0.5	1	2.7	0.4	0.8	0	255
189	ID_05	0006-0960	Red	22465	3.51015625	122	35.7	80	59	235	0.5	1	2.3	0.4	0.8	0	255
190	ID_05	0007-1020	Red	22397	3.49953125	119.4	37.7	169	50	199	0.5	1	2.6	0.4	0.9	0	255
191	ID_05	0008-1366	Red	23170	3.6203125	95.3	48.7	30	15	229	0.5	1	2.6	0.4	0.9	0	255
192	ID_05	0009-1375	Red	23357	3.64953125	139.6	21.7	126	79	229	0.5	1	2.5	0.4	0.9	0	255
193	ID_05	0010-1391	Red	20422	3.1909375	122.8	36.6	80	60	237	0.5	1	2.8	0.4	0.8	0	255
194	ID_05	0011-1436	Red	22013	3.43953125	123	34.5	171	42	218	0.5	1	2.5	0.4	0.8	0	255
195	ID_05	0012-1460	Red	20085	3.13828125	134.8	25	124	75	213	0.3	1	2.7	0.4	0.8	0	255
196	ID_05	0013-1471	Red	23113	3.61140625	93.4	45.8	27	16	219	0.6	1	2.6	0.4	0.9	0	255
197	ID_05	0014-1471	Red	22094	3.4521875	137.9	24.4	123	85	221	0.5	1	2.6	0.4	0.8	0	255
198	ID_05	0015-1805	Red	22047	3.44484375	142.2	23.4	123	81	217	0.5	1	2.5	0.4	0.8	0	255
199	ID_05	0016-1824	Red	23233	3.63015625	98.1	45.6	130	15	224	0.5	1	2.4	0.4	0.9	0	255
200	ID_05	0017-1834	Red	23417	3.65890625	139.3	24.3	124	81	218	0.5	1	2.4	0.4	0.8	0	255
201	ID_05	0018-1873	Red	23251	3.63296875	98.7	43.7	129	16	232	0.5	1	2.5	0.4	0.9	0	255
202	ID_05	0019-1894	Red	22999	3.59359375	93.8	45.9	28	14	200	0.6	1	2.2	0.4	0.9	0	255
203	ID_05	0020-1933	Red	22412	3.501875	134.9	25.5	125	80	213	0.5	1	2.7	0.4	0.9	0	255
204	ID_05	0021-1936	Red	23573	3.68328125	94.7	43.9	144	19	228	0.6	1	2	0.5	0.9	0	255
205	ID_05	0022-2266	Red	22590	3.5296875	100.6	43.2	149	19	214	0.5	1	2.2	0.5	0.8	0	255
206	ID_05	0023-2288	Red	22901	3.57828125	120.1	36.3	77	52	216	0.5	1	2.7	0.4	0.8	0	255
207	ID_05	0024-2288	Red	22245	3.47578125	95.4	44.6	129	16	219	0.5	1	2.6	0.4	0.9	0	255
208	ID_05	0025-2296	Red	22581	3.52828125	142.2	22.6	125	81	220	0.5	1	2.5	0.4	0.9	0	255
209	ID_05	0026-2299	Red	22024	3.44125	89.7	46.4	25	16	237	0.6	1	2.6	0.4	0.9	0	255
210	ID_05	0027-2283	Red	21900	3.421875	97.4	43.6	144	22	216	0.6	1	2.1	0.5	0.9	0	255
211	ID_05	0028-2298	Red	23553	3.68015625	121.9	35.4	85	55	229	0.5	1	2.2	0.5	0.8	0	255
212	ID_05	0001-0860	Green	22278	3.4809375	101.1	15	112	50	187	0.5	2	2.7	0.4	0.9	0	255
213	ID_05	0002-0882	Green	24551	3.83609375	102.2	13.1	95	61	187	0.5	2	2.6	0.4	0.9	0	255
214	ID_05	0003-0886	Green	25006	3.9071875	101.1	12.7	105	46	176	0.5	2	2.1	0.5	0.9	0	255
215	ID_05	0004-0887	Green	22627	3.53546875	100.9	14.6	112	59	192	0.5	2	2.3	0.4	0.9	0	255
216	ID_05	0005-0909	Green	22368	3.495	83.9	41.7	22	9	158	0.5	2	2.7	0.4	0.8	0	255
217	ID_05	0006-0960	Green	22465	3.51015625	97.6	14.6	95	39	182	0.5	2	2.3	0.4	0.8	0	255
218	ID_05	0007-1020	Green	22397	3.49953125	96.1	15	93	45	150	0.5	2	2.6	0.4	0.9	0	255
219	ID_05	0008-1366	Green	23170	3.6203125	66.8	23	67	22	155	0.5	2	2.6	0.4	0.9	0	255
220	ID_05	0009-1375	Green	23357	3.64953125	82.9	44.8	22	6	172	0.5	2	2.5	0.4	0.9	0	255
221	ID_05	0010-1391	Green	20422	3.1909375	101.2	13.8	94	51	201	0.5	2	2.8	0.4	0.8	0	255
222	ID_05	0011-1436	Green	22013	3.43953125	101.3	13.5	94	56	173	0.5	2	2.5	0.4	0.8	0	255
223	ID_05	0012-1460	Green	20085	3.13828125	77.4	43.4	21	8	175	0.3	2	2.7	0.4	0.8	0	255
224	ID_05	0013-1471	Green	23113	3.61140625	63.6	22.8	66	19	170	0.6	2	2.6	0.4	0.9	0	255
225	ID_05	0014-1471	Green	22094	3.4521875	83.4	43.1	25	12	167	0.5	2	2.6	0.4	0.8	0	255
226	ID_05	0015-1805	Green	22047	3.44484375	81.3	47.1	21	10	182	0.5	2	2.5	0.4	0.8	0	255
227	ID_05	0016-1824	Green	23233	3.63015625	69.9	22.9	66	22	162	0.5	2	2.4	0.4	0.9	0	255
228	ID_05	0017-1834	Green	23417	3.65890625	81.9	45	20	10	182	0.5	2	2.4	0.4	0.8	0	255
229	ID_05	0018-1873	Green	23251	3.63296875	64.6	23	66	20	164	0.5	2	2.5	0.4	0.9	0	255
230	ID_05	0019-1894	Green	22999	3.59359375	60.2	20.7	54	18	131	0.6	2	2.2	0.4	0.9	0	255
